n,method,accuracy_mean,accuracy_std
0,BC,0.5030,0.0080
1,BC,0.4970,0.0090
2,BC,0.5060,0.0140
3,BC,0.5050,0.0100
4,BC,0.4940,0.0120
5,BC,0.4980,0.0120
6,BC,0.5040,0.0090
8,BC,0.5010,0.0110
10,BC,0.5030,0.0100
12,BC,0.4980,0.0090
0,OfflineRL,0.5320,0.0170
1,OfflineRL,0.5320,0.0170
2,OfflineRL,0.5310,0.0180
3,OfflineRL,0.5300,0.0190
4,OfflineRL,0.5370,0.0160
5,OfflineRL,0.5340,0.0180
6,OfflineRL,0.5340,0.0160
8,OfflineRL,0.5360,0.0170
10,OfflineRL,0.5280,0.0160
12,OfflineRL,0.5300,0.0180
0,DiagonalERM,0.5130,0.0130
1,DiagonalERM,0.5090,0.0140
2,DiagonalERM,0.5180,0.0120
3,DiagonalERM,0.5170,0.0140
4,DiagonalERM,0.5110,0.0150
5,DiagonalERM,0.5090,0.0150
6,DiagonalERM,0.5150,0.0120
8,DiagonalERM,0.5100,0.0130
10,DiagonalERM,0.5170,0.0120
12,DiagonalERM,0.5100,0.0120
0,Probe+LR (random),0.5200,0.0220
1,Probe+LR (random),0.6320,0.0290
2,Probe+LR (random),0.7170,0.0260
3,Probe+LR (random),0.7740,0.0240
4,Probe+LR (random),0.8040,0.0210
5,Probe+LR (random),0.8480,0.0180
6,Probe+LR (random),0.8660,0.0170
8,Probe+LR (random),0.8920,0.0140
10,Probe+LR (random),0.9080,0.0150
12,Probe+LR (random),0.9110,0.0140
0,Probe+LR (OED),0.5200,0.0210
1,Probe+LR (OED),0.6790,0.0260
2,Probe+LR (OED),0.7590,0.0220
3,Probe+LR (OED),0.8210,0.0200
4,Probe+LR (OED),0.8650,0.0170
5,Probe+LR (OED),0.8860,0.0170
6,Probe+LR (OED),0.9100,0.0160
8,Probe+LR (OED),0.9250,0.0140
10,Probe+LR (OED),0.9360,0.0140
12,Probe+LR (OED),0.9410,0.0150
