n,method,seed,accuracy
0,BC,0,0.502586
0,BC,1,0.500582
0,BC,2,0.486315
0,BC,3,0.522024
0,BC,4,0.503941
0,BC,5,0.510739
0,BC,6,0.505133
0,BC,7,0.498880
0,BC,8,0.507850
0,BC,9,0.490726
0,BC,10,0.504800
0,BC,11,0.506376
0,BC,12,0.497372
0,BC,13,0.497240
0,BC,14,0.506420
0,BC,15,0.506542
0,BC,16,0.496420
0,BC,17,0.494672
0,BC,18,0.515302
0,BC,19,0.506080
1,BC,0,0.500441
1,BC,1,0.489071
1,BC,2,0.491725
1,BC,3,0.494860
1,BC,4,0.494857
1,BC,5,0.494717
1,BC,6,0.519701
1,BC,7,0.505651
1,BC,8,0.486704
1,BC,9,0.504590
1,BC,10,0.481631
1,BC,11,0.491994
1,BC,12,0.496525
1,BC,13,0.508559
1,BC,14,0.488304
1,BC,15,0.499258
1,BC,16,0.501012
1,BC,17,0.485893
1,BC,18,0.495977
1,BC,19,0.508530
2,BC,0,0.502894
2,BC,1,0.492592
2,BC,2,0.499385
2,BC,3,0.506843
2,BC,4,0.491811
2,BC,5,0.478546
2,BC,6,0.516765
2,BC,7,0.501793
2,BC,8,0.497704
2,BC,9,0.498145
2,BC,10,0.518626
2,BC,11,0.504529
2,BC,12,0.520411
2,BC,13,0.528391
2,BC,14,0.481689
2,BC,15,0.506931
2,BC,16,0.509298
2,BC,17,0.533725
2,BC,18,0.509291
2,BC,19,0.520631
3,BC,0,0.496400
3,BC,1,0.512691
3,BC,2,0.512359
3,BC,3,0.516893
3,BC,4,0.497846
3,BC,5,0.501292
3,BC,6,0.502707
3,BC,7,0.501196
3,BC,8,0.512852
3,BC,9,0.510546
3,BC,10,0.516098
3,BC,11,0.522809
3,BC,12,0.486012
3,BC,13,0.506391
3,BC,14,0.511633
3,BC,15,0.502427
3,BC,16,0.484453
3,BC,17,0.498326
3,BC,18,0.494320
3,BC,19,0.512748
4,BC,0,0.465466
4,BC,1,0.503399
4,BC,2,0.487681
4,BC,3,0.489712
4,BC,4,0.506095
4,BC,5,0.497014
4,BC,6,0.511579
4,BC,7,0.478429
4,BC,8,0.483393
4,BC,9,0.501658
4,BC,10,0.503444
4,BC,11,0.497264
4,BC,12,0.495480
4,BC,13,0.487502
4,BC,14,0.507388
4,BC,15,0.509439
4,BC,16,0.476925
4,BC,17,0.488253
4,BC,18,0.503683
4,BC,19,0.486194
5,BC,0,0.499525
5,BC,1,0.490456
5,BC,2,0.516586
5,BC,3,0.496798
5,BC,4,0.520857
5,BC,5,0.500263
5,BC,6,0.506611
5,BC,7,0.499151
5,BC,8,0.505979
5,BC,9,0.508962
5,BC,10,0.486593
5,BC,11,0.506343
5,BC,12,0.496697
5,BC,13,0.467835
5,BC,14,0.495483
5,BC,15,0.480066
5,BC,16,0.500133
5,BC,17,0.482852
5,BC,18,0.501609
5,BC,19,0.497201
