n,C_commit,seed,total_cost
0,0,0,46.766929
0,0,1,48.449533
0,0,2,46.573009
0,0,3,42.900440
0,0,4,44.117712
0,0,5,45.952172
0,0,6,46.285513
0,0,7,49.467576
0,0,8,47.944446
0,0,9,46.754466
0,0,10,45.244807
0,0,11,45.494390
0,0,12,43.742260
0,0,13,46.123223
0,0,14,43.497574
0,0,15,46.775112
0,0,16,45.996646
0,0,17,46.154517
0,0,18,47.825731
0,0,19,45.933944
1,0,0,30.452473
1,0,1,29.698998
1,0,2,30.577311
1,0,3,28.499118
1,0,4,32.123927
1,0,5,29.541463
1,0,6,30.952195
1,0,7,28.478784
1,0,8,30.944732
1,0,9,29.473397
1,0,10,32.368735
1,0,11,30.322308
1,0,12,30.997200
1,0,13,30.318932
1,0,14,29.673469
1,0,15,30.778410
1,0,16,28.223850
1,0,17,32.934397
1,0,18,29.904951
1,0,19,28.135350
2,0,0,23.902996
2,0,1,25.742713
2,0,2,24.338209
2,0,3,24.304751
2,0,4,27.495680
2,0,5,26.407691
2,0,6,24.172592
2,0,7,25.370665
2,0,8,24.310880
2,0,9,22.223488
2,0,10,24.258177
2,0,11,25.968953
2,0,12,24.889228
2,0,13,24.485732
2,0,14,26.334683
2,0,15,24.055901
2,0,16,24.661713
2,0,17,26.570922
2,0,18,24.314608
2,0,19,26.190419
3,0,0,20.473829
3,0,1,19.968285
3,0,2,20.449844
3,0,3,20.044619
3,0,4,20.118671
3,0,5,19.989396
3,0,6,22.816121
3,0,7,21.171895
3,0,8,19.580576
3,0,9,20.324356
3,0,10,21.865499
3,0,11,21.113575
3,0,12,21.321602
3,0,13,18.862191
3,0,14,21.019997
3,0,15,17.252180
3,0,16,20.084936
3,0,17,20.233765
3,0,18,19.761086
3,0,19,19.747578
4,0,0,18.865121
4,0,1,21.852741
4,0,2,19.638722
4,0,3,20.008662
4,0,4,19.116288
4,0,5,19.665012
4,0,6,18.528581
4,0,7,18.969537
4,0,8,18.864229
4,0,9,18.748718
4,0,10,19.219071
4,0,11,17.314149
4,0,12,16.983975
4,0,13,19.610102
4,0,14,18.978278
4,0,15,20.702614
4,0,16,20.418623
4,0,17,19.526580
4,0,18,18.046976
4,0,19,18.542022
5,0,0,18.590063
5,0,1,20.247964
5,0,2,16.156077
5,0,3,18.592231
5,0,4,17.697841
5,0,5,19.116156
5,0,6,18.960746
5,0,7,17.665226
5,0,8,18.036632
5,0,9,19.894426
5,0,10,19.021370
5,0,11,18.311990
5,0,12,16.362151
5,0,13,17.450802
5,0,14,18.867684
5,0,15,17.335131
5,0,16,19.248132
5,0,17,18.591020
5,0,18,17.761434
5,0,19,16.892925
6,0,0,20.787014
6,0,1,18.376128
6,0,2,19.978396
6,0,3,19.091485
6,0,4,19.796504
6,0,5,18.332020
6,0,6,20.466317
6,0,7,19.283132
6,0,8,19.698057
6,0,9,19.839196
6,0,10,18.639018
6,0,11,20.101461
6,0,12,18.578196
6,0,13,20.357877
6,0,14,19.928353
6,0,15,21.667257
6,0,16,21.890658
6,0,17,20.923397
6,0,18,18.962139
6,0,19,17.703398
8,0,0,22.238179
8,0,1,22.269474
8,0,2,21.703036
8,0,3,22.259288
8,0,4,18.844181
8,0,5,22.449531
8,0,6,19.165605
8,0,7,22.684623
8,0,8,20.369264
8,0,9,21.855605
8,0,10,20.498655
8,0,11,20.720564
8,0,12,22.745110
8,0,13,20.910322
8,0,14,21.928053
8,0,15,22.134340
8,0,16,22.014196
8,0,17,23.166135
8,0,18,22.244418
8,0,19,21.399422
10,0,0,26.649049
10,0,1,24.200939
10,0,2,25.252640
10,0,3,25.427953
10,0,4,25.195371
10,0,5,25.184958
10,0,6,27.410945
10,0,7,25.711481
10,0,8,27.937280
10,0,9,26.359571
10,0,10,24.526236
10,0,11,24.724176
10,0,12,26.606542
10,0,13,24.767697
10,0,14,25.104776
10,0,15,23.731033
10,0,16,24.299507
10,0,17,26.826077
10,0,18,23.732105
10,0,19,23.751662
12,0,0,31.007501
12,0,1,29.744542
12,0,2,32.124755
12,0,3,30.676913
12,0,4,30.179026
12,0,5,29.379499
12,0,6,29.684761
12,0,7,30.107890
12,0,8,34.961176
12,0,9,30.905954
12,0,10,29.783443
12,0,11,31.364954
12,0,12,31.074071
12,0,13,29.154384
12,0,14,29.520116
12,0,15,31.167832
12,0,16,31.785778
12,0,17,29.067837
12,0,18,30.079142
12,0,19,31.030425
0,10,0,56.070964
0,10,1,60.798927
0,10,2,59.391550
0,10,3,57.750096
0,10,4,57.884591
0,10,5,61.258396
0,10,6,57.661799
0,10,7,59.371609
0,10,8,56.276712
0,10,9,58.267143
0,10,10,57.859776
0,10,11,61.594786
0,10,12,55.462571
0,10,13,60.319257
0,10,14,60.403225
0,10,15,59.581006
0,10,16,60.486161
0,10,17,60.380562
0,10,18,55.343119
0,10,19,59.037751
1,10,0,47.345160
1,10,1,42.162394
1,10,2,43.630309
1,10,3,44.240561
1,10,4,42.704393
1,10,5,45.422467
1,10,6,43.286265
1,10,7,42.491757
1,10,8,44.023896
1,10,9,41.773503
1,10,10,45.137554
1,10,11,45.471268
1,10,12,47.219049
1,10,13,45.098257
1,10,14,45.625168
1,10,15,43.386998
1,10,16,41.633126
1,10,17,43.569729
1,10,18,44.527741
1,10,19,44.250404
2,10,0,35.081509
2,10,1,36.356578
2,10,2,33.046268
2,10,3,36.877652
2,10,4,36.556384
2,10,5,35.356860
2,10,6,36.540331
2,10,7,36.853423
2,10,8,35.992411
2,10,9,33.622274
2,10,10,37.193287
2,10,11,34.205378
2,10,12,35.649224
2,10,13,35.337479
2,10,14,33.374723
2,10,15,36.912006
2,10,16,35.765330
2,10,17,34.874210
2,10,18,38.459252
2,10,19,37.745421
3,10,0,32.748022
3,10,1,30.173314
3,10,2,30.149458
3,10,3,32.506462
3,10,4,32.627492
3,10,5,30.856362
3,10,6,32.712644
3,10,7,30.518769
3,10,8,32.123306
3,10,9,35.914785
3,10,10,32.716664
3,10,11,31.653755
3,10,12,29.801211
3,10,13,31.031675
3,10,14,31.261837
3,10,15,31.680498
3,10,16,31.096594
3,10,17,30.224533
3,10,18,32.122037
3,10,19,31.880584
4,10,0,28.118739
4,10,1,30.645683
4,10,2,27.058649
4,10,3,27.287648
4,10,4,30.094125
4,10,5,30.307353
4,10,6,28.733052
4,10,7,30.680537
4,10,8,28.859174
4,10,9,27.981180
4,10,10,30.140788
4,10,11,30.973310
4,10,12,30.685806
4,10,13,28.012440
4,10,14,28.965736
4,10,15,28.315800
4,10,16,30.945612
4,10,17,30.971119
4,10,18,29.775800
4,10,19,30.647450
5,10,0,27.877088
5,10,1,26.922719
5,10,2,26.401994
5,10,3,28.302846
5,10,4,26.595422
5,10,5,27.053003
5,10,6,27.052905
5,10,7,30.273959
5,10,8,27.937092
5,10,9,28.208602
5,10,10,29.390052
5,10,11,27.013512
5,10,12,31.013676
5,10,13,28.907352
5,10,14,29.154140
5,10,15,27.861360
5,10,16,28.859856
5,10,17,29.063339
5,10,18,28.620214
5,10,19,26.290869
6,10,0,28.576729
6,10,1,27.654585
6,10,2,31.106407
6,10,3,26.780683
6,10,4,29.313374
6,10,5,28.986520
6,10,6,29.393191
6,10,7,27.776625
6,10,8,27.825134
6,10,9,28.210089
6,10,10,28.337014
6,10,11,30.200158
6,10,12,28.661326
6,10,13,28.105630
6,10,14,28.598118
6,10,15,31.174676
6,10,16,29.905268
6,10,17,25.925070
6,10,18,27.899277
6,10,19,29.170124
8,10,0,31.778431
8,10,1,30.091472
8,10,2,29.239249
8,10,3,32.184711
8,10,4,30.766168
8,10,5,31.852769
8,10,6,31.011637
8,10,7,33.028359
8,10,8,29.065226
8,10,9,30.071775
8,10,10,32.771715
8,10,11,30.514996
